,Precio
0,0.6620868088337254
1,0.5469737029421903
2,0.4615672278698237
3,0.47642018914843476
4,0.5841071685316377
5,0.6802820582375473
6,0.7196437159104663
7,0.7771999147252606
8,0.7029336918083122
9,0.8143333803147094
10,0.8440400111338767
11,0.8069065455444293
12,0.8180467976998474
13,0.8588936806744342
14,0.8614930020178372
15,0.7697737882169283
16,0.7437798665209526
17,0.727812809200605
18,0.6888229890495612
19,0.6457479139915001
20,0.5867064898750406
21,0.6750834155507414
22,0.6992202744231728
23,0.610100381965667
24,0.39435529393933116
25,0.4110653180414852
26,0.502413402582464
27,0.6546599740634453
28,0.643520430169975
29,0.5803937511464983
30,0.2673596773725178
31,0.25956171334230904
32,0.13108016321188276
33,0.1886370702886236
34,0.0
35,0.155959988866122
36,0.16747137028146883
37,0.3197179417624528
38,0.27367241610106013
39,0.1956920675370259
40,0.2202000556693887
41,0.27664286670439303
42,0.4916449879489223
43,0.5399179974318414
44,0.6360935953996961
45,0.6955068570380322
46,0.7771999147252606
47,0.870033224567906
48,0.9079096569391598
49,1.0
50,0.9847752011995111
