,Precio
0,0.0
1,0.17783144295933734
2,0.15036121046686746
3,0.5445784603256777
4,0.7465062888271837
5,0.8414461066923946
6,0.8693972668015814
7,0.8563857480704066
8,0.8732527767319277
9,0.8544576254235693
10,0.9031327948512802
11,0.8303612398814006
12,0.9016870705478163
13,0.7012049663497741
14,0.719517719314759
15,0.7108433734939759
16,0.5474699089326054
17,0.7349397590361446
18,0.6144578313253012
19,0.6096382600715361
20,0.5171082278332079
21,0.35036165168486444
22,0.23903646813817772
23,0.24048219244164157
24,0.24144551840173192
25,0.15566244470067772
26,0.24771081395896086
27,0.3648196300828313
28,0.0
29,0.29590358504329817
30,0.3787952101374247
31,0.4081928299134036
32,0.35373476327183734
33,0.3325298263365964
34,0.39759036144578314
35,0.5489156332360693
36,0.7773496329066265
37,0.7657831031155874
38,0.8168673228068524
39,0.5918071700865963
40,0.683373141001506
41,1.0
42,0.9199998235128012
43,0.7609635318618223
44,0.6342170439570783
45,0.47759053793298195
46,0.0
