,Precio
0,0.11212125649172766
1,0.2919190852742694
2,0.3060604355844158
3,0.11313157312696483
4,0.3444439906196999
5,0.4151515128162255
6,0.4545453844867467
7,0.6363630758939693
8,0.7010102395706588
9,0.7878782040562182
10,0.7222222650358785
11,0.6999999229354217
12,0.7858583414315373
13,0.9727268453691538
14,0.8313125716218946
15,0.6505051968499092
16,0.5686865036031552
17,0.4939392561572679
18,0.6242423588542972
19,0.6343432132692884
20,0.5464641615026984
21,0.5464641615026984
22,0.4444445300717555
23,0.4292928631263719
24,0.3939394873510058
25,0.24949503434383014
26,0.3343431362047087
27,0.04646454682559445
28,0.004040495895155187
29,0.0
30,0.26767688054913175
31,0.3666663327201567
32,0.46767641816165595
33,0.6515147428393528
34,0.43131272575105273
35,0.5080806064674144
36,0.6010097001186032
37,0.7454541531257789
38,1.0
39,0.8545452303575886
40,0.5606055118128449
41,0.44949457195635434
42,0.7343429820755506
43,0.7707066744861537
44,0.4171713754409063
45,0.4616160596418199
46,0.3515146657747731
47,0.0
