,Precio
0,0.23822727560918908
1,0.17174517967467712
2,0.17820867764228435
3,0.2105265197145494
4,0.2197599876013554
5,0.29178237560848463
6,0.23361054166578607
7,0.281625349592465
8,0.4238226571140746
9,0.33979683130094124
10,0.4450602672753274
11,0.4062789272354545
12,0.43213291910588797
13,0.35087741544617507
14,0.34626032926855044
15,0.23176377764158054
16,0.24099724552838722
17,0.19944628780353785
18,0.25669456361702275
19,0.23361054166578607
20,0.2714683235764454
21,0.10156990792597445
22,0.08217941402314884
23,0.04062810406407845
24,0.0
25,0.12188395995801368
26,0.2502310656494142
27,0.22714704369817754
28,0.3361036554867525
29,0.23730406971419715
30,0.3656511754055977
31,0.2770082634148403
32,0.3776546132116012
33,0.23915048150418103
34,0.2714683235764454
35,0.19021246768251016
36,0.31763636747891877
37,0.29732231544687954
38,0.24930750752020064
39,0.20590978577114638
40,0.19482920162591383
41,0.27516185162485646
42,0.26315806158463134
43,0.3093261054871047
44,0.26131129756042576
45,0.295475551422674
46,0.29178237560848463
47,0.42566942113828077
48,0.5050785130080098
49,0.45983402723475003
50,0.5106188050806264
51,1.0
52,0.9584486900409296
53,0.9898429739839804
