,Precio
1,0.0
2,0.3344945790074606
3,0.57839737463664
4,1.0
5,1.0
6,0.6167251276993645
7,0.5400696215739155
8,0.7247382545161646
9,0.6585366177844708
10,0.6759579612229922
11,0.6480840775540205
12,0.484320525072672
13,0.23344892623542407
14,0.034842686877035296
15,0.3170732355689417
16,0.20557504256645484
17,0.08362430933351764
18,0.0
19,0.43902396880187644
20,0.49128932828074057
21,0.6236939309074331
22,0.686411830616745
23,0.5435546877596023
24,0.7526134673484388
25,0.6445990113683313
26,0.8083625638496823
27,0.9895474597695497
28,0.8571428571428571
29,0.8153313670577508
30,0.40069754490245935
31,0.5540072279900525
32,0.0
