,Precio
0,0.0
1,0.6666666666666666
2,0.8199996948242188
3,0.8133335113525391
4,1.0
5,0.8966668446858724
6,0.9133332570393881
7,0.6466668446858724
8,0.6400000254313151
9,0.673333485921224
10,0.7099997202555338
11,0.6533330281575521
12,0.47666676839192706
13,0.7233333587646484
14,0.21666653951009116
15,0.0
16,0.04333305358886719
17,0.12333361307779948
18,0.20000012715657553
19,0.43000030517578125
20,0.5400002797444662
21,0.5433330535888672
22,0.3900000254313151
23,0.43999989827473956
24,0.673333485921224
25,0.5833333333333334
26,0.4266668955485026
27,0.6133333841959635
28,0.7099997202555338
29,0.7999998728434257
30,0.7800000508626302
31,0.7099997202555338
32,0.8133335113525391
33,0.650000254313151
34,0.7000001271565756
35,0.8299999237060547
36,0.8666667938232422
37,0.7866668701171863
38,0.6533330281575521
39,0.7933330535888672
40,0.8766663869222006
41,0.633333206176759
42,0.7300001780192057
43,0.6833330790201823
44,0.5933335622151693
45,0.43000030517578125
46,0.0
