,Precio
0,0.0
1,0.11306185757568463
2,0.37921364718866984
3,0.3749997990854373
4,0.6664325342291441
5,0.7071630060033278
6,0.7106744567939947
7,0.7268258445778525
8,0.7977529715263889
9,0.8272472293881759
10,1.0
11,0.8785115177621887
12,0.6790730069945073
13,0.45926979611190183
14,0.1896065557082508
15,0.24789320989142602
16,0.39185411995403013
17,0.3876402718507986
18,0.3553369605109137
19,0.4346912478937451
20,0.4058988515723578
21,0.5646068905658563
22,0.5863763853059131
23,0.5632020959407227
24,0.7043539525252289
25,0.7471910804649439
26,0.9487362473981583
27,0.8672753038497918
28,0.925561958032967
29,0.8153091539353813
30,0.7654496601865031
31,0.9248595607204012
32,0.9473314527730228
33,0.6875001674288033
34,0.6221911474364648
35,0.6088482773585376
36,0.4529492918431381
37,0.0
